id,ejercicio,lluvia,lluvia_normal,lluvia_anom,thi_dias,gw,gw_z
1603004,2022,1027.2218813558245,1214.492429291369,-15.419655439500186,39,0.6903253328213006,-0.6035516709309319
1603004,2023,675.2849825755121,1214.492429291369,-44.39776104907243,84,0.6284489247311827,-2.2502651992931777
1603004,2024,1474.1223540846406,1214.492429291369,21.377648681166352,71,0.6448177295760722,-1.8146430742670512
1603004,2025,913.7422967289125,1214.492429291369,-24.76344234915799,63,0.644462877624168,-1.824086730222571
1603004,2026,739.5060608215582,1214.492429291369,-39.109866559395144,64,0.6294425883256528,-2.2238208833711575
1603005,2021,885.4324103795732,1171.0701060449642,-24.39116959701674,40,0.7104044418842805,-0.3412071884863968
1603005,2022,965.543790720575,1171.0701060449642,-17.550299872183558,41,0.7010844214029698,-0.6139585118095573
1603005,2023,644.8555140020535,1171.0701060449642,-44.93450813291499,79,0.6382061571940604,-2.4540971473022757
1603005,2024,1390.6474941910992,1171.0701060449642,18.750148860661312,66,0.6712378877765418,-1.4874202772146634
1603005,2025,847.7626343660783,1171.0701060449642,-27.607866515420408,62,0.6614049539170507,-1.7751820613977958
1603005,2026,698.6763231481941,1171.0701060449642,-40.33864244833111,63,0.6444295314900154,-2.2719694815786977
1603006,2021,872.7804177948765,1147.0686647996922,-23.912103557698835,44,0.6855396825396826,-0.6445751604201057
1603006,2022,890.5787904938882,1147.0686647996922,-22.360463865569354,41,0.6868872887864823,-0.6041454001643672
1603006,2023,632.2055539644373,1147.0686647996922,-44.88511687529737,79,0.628926267281106,-2.3430436942357833
1603006,2024,1352.7322734257768,1147.0686647996922,17.929494104173685,63,0.6591353355580274,-1.4367363875684407
1603006,2025,824.3133531396946,1147.0686647996922,-28.13740114820057,61,0.6522569764464926,-1.6430951889561796
1603006,2026,687.0007930649268,1147.0686647996922,-40.108137015067456,63,0.6399672299027138,-2.0118019291844336
1604001,2021,882.7821777776204,1171.1391737922781,-24.621923889790647,41,0.6717930747567844,-0.8776836410564353
1604001,2022,955.7254371816407,1171.1391737922781,-18.393521575501904,38,0.6858263568868408,-0.5319759767823415
1604001,2023,632.8843310843868,1171.1391737922781,-45.959938387592544,86,0.6173969534050179,-2.217723403943594
1604001,2024,1349.5983344077235,1171.1391737922781,15.238083108224867,69,0.6358442714126807,-1.7632766707099246
1604001,2025,894.8425522737215,1171.1391737922781,-23.592125317085728,63,0.6297876984126984,-1.912479379379547
1604001,2026,752.769829966721,1171.1391737922781,-35.723281501278024,68,0.6081647465437788,-2.4451573456626425
1604002,2021,894.9852473862785,1170.1735782970063,-23.516881257156637,44,0.6855396825396826,-0.6445751604201057
1604002,2022,937.7906528824259,1170.1735782970063,-19.85884228840436,41,0.6868872887864823,-0.6041454001643672
1604002,2023,641.1226575850632,1170.1735782970063,-45.21131997202407,79,0.628926267281106,-2.3430436942357833
1604002,2024,1345.6377259638452,1170.1735782970063,14.99471111988342,63,0.6591353355580274,-1.4367363875684407
1604002,2025,876.376088151967,1170.1735782970063,-25.107171755887094,61,0.6522569764464926,-1.6430951889561796
1604002,2026,751.3580041866178,1170.1735782970063,-35.79089306732641,63,0.6399672299027138,-2.0118019291844336
1604003,2021,883.6728620319503,1136.272705832169,-22.230565119068213,44,0.6855396825396826,-0.6445751604201057
1604003,2022,919.7958744450427,1136.272705832169,-19.051485640375898,41,0.6868872887864823,-0.6041454001643672
1604003,2023,622.5307923169061,1136.272705832169,-45.21290627490829,79,0.628926267281106,-2.3430436942357833
1604003,2024,1331.6694501751294,1136.272705832169,17.196289529797173,63,0.6591353355580274,-1.4367363875684407
1604003,2025,880.4417873151638,1136.272705832169,-22.51492244809692,61,0.6522569764464926,-1.6430951889561796
